点位,现有数量,预测需求,理想配置
梅苑1栋,172,60,84
菊苑1栋,170,124,150
南门,130,94,112
东门,122,78,93
一食堂,79,38,55
二食堂,76,103,135
三食堂,68,49,71
北门,66,94,124
工程中心,62,76,91
教学2楼,45,68,84
教学4楼,45,110,164
体育馆,13,17,23
计算机学院,10,78,138
网球场,3,38,45
校医院,1,26,34
