点位,现有数量,预测需求,理想配置
南门,157.25,79,94
菊苑1栋,153.0,101,122
北门,113.0,119,158
三食堂,91.0,67,97
二食堂,87.0,93,122
网球场,76.0,26,31
一食堂,63.0,52,75
计算机学院,60.0,54,95
东门,57.0,91,109
教学2楼,52.0,70,86
工程中心,46.0,65,78
体育馆,41.0,19,25
梅苑1栋,39.0,51,72
教学4楼,9.0,144,215
校医院,9.0,20,26
